jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 9 + 1 = 10
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 10
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 10 + 1 = 11
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 11
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 11 + 1 = 12
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 12
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 12 + 1 = 13
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 13
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 13 + 1 = 14
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 14
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 14 + 1 = 15
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 15
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 15 + 1 = 16
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 16
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 16 + 1 = 17
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 17
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 17 + 1 = 18
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 18
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 18 + 1 = 19
ret      6063 32768 32767    17  6027 | 6067
ret      6052 32769 32767    17  6027 | 6056
set      6055  6027     1 32769 32768 | @1 = 19
pop      6057 32769 32768     3 32768 | @0 = 1
add      6061     9 32768 32768 32767 | @0: 1 + 32767 = 0
call     6063 32768 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 0 ? 6035
add      6030     9 32768 32769     1 | @0: 19 + 1 = 20
ret      6063 32768 32767    17  6027 | 6067
ret      6063 32768 32767    17  6027 | 6067
ret      5487 32769     1    17  6027 | 5491
eq       5491     4 32769 32768     6 | @1: 20 == 6 ?
